Company,City,Affected Workers,Notice Received,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Anchor Bank FSB - Division Street,Stevens Point,1,5/19/2016,WR,09/30/2016,Savings Institutions,Portage,North Central
"Graphic Packaging International, Inc.",Menasha,230,5/18/2016,CL,07/16/2016,Coated & Laminated Packaging Paper Mfg,Winnebago,Fox Valley
Sodexo,Waukesha,78,5/18/2016,CL,06/15/2016,Food Service Contractors,Waukesha,WOW
Sears Holding Company,Wausau,33,5/16/2016,CL,08/07/2016,Department Stores exc Discount,Marathon,North Central
Sears Holding Company,Wausau,3,5/16/2016,CL,08/07/2016,Automotive Parts & Accessories Stores,Marathon,North Central
Monsanto Company,Middleton,30,5/12/2016,CL,07/12/2016,Other Chemicals Merch Whls,Dane,South Central
"Tyson Foods, Inc.",Jefferson,248,5/9/2016,CL,07/09/2016,Meat Processed from Carcasses,Jefferson,South Central
"Joy Global, Inc.",Milwaukee,130,5/11/2016,"CL, AW",11/30/2015,Overhead Cranes Hoists and Monorail Systems,Milwaukee,Milwaukee
Kraft Heinz Foods Company,Madison,561,4/25/2016,WR,06/30/2016,Meat Processed from Carcasses,Dane,South Central
"United Solutions, Inc.",Pleasant Prairie,161,4/19/2016,CL,06/24/2016,Packaging & Labeling Services,Kenosha,Southeast
Fairmont Santrol,Hagar City,3,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Maiden Rock,39,4/14/2016,WR,04/14/2016,Ind Sand Mining,Pierce,West Central
Fairmont Santrol,Menomonie,13,4/14/2016,WR,04/14/2016,Ind Sand Mining,Dunn,West Central
"Kohl's Department Stores, Inc.",Brown Deer,83,4/8/2016,CL,06/19/2016,Office Admin Services,Milwaukee,Milwaukee
Rock-Walworth Comprehensive Family Services Inc.-Janesville Community Kids,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Walworth Co. RWCFS,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Janesville Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Lake Geneva,Lake Geneva,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Delavan,Delavan,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Rock-Walworth Comprehensive Family Services Inc.-Sharon,Sharon,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Whitewater,Whitewater,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Walworth,Southeast
Rock-Walworth Comprehensive Family Services Inc.-Beloit Hackett Head Start,Beloit,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
Superior Silica Sands,New Auburn,9,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Prairie Farm,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Chetek,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands,Barron,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Barron,West Central
Superior Silica Sands-Arland Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-CRM Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-FLS Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Unimin Corporation,Tunnel City,65,3/24/2016,CL,03/21/2016,Ind Sand Mining,Monroe,Western
Unimin Corporation - Revision 1,Tunnel City,0,7/7/2016,RN,03/21/2016,Ind Sand Mining,Monroe,Western
Rock-Walworth Comprehensive Family Services Inc.-Merrill Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
"Maslow Media Group, Inc.",Milwaukee,1,3/21/2016,CL,04/20/2016,Teleproduction & Postproduction Services,Milwaukee,Milwaukee
"Five Star Quality Care, Inc.",Pewaukee,144,3/8/2016,CL,05/17/2016,Assisted Living Facilities for the Elderly,Waukesha,WOW
"OEM Fabricators, Inc.",Baldwin,34,3/3/2016,CL,04/30/2016,Other Industrial Machinery Mfg,St. Croix,West Central
W.D. Hoard & Sons Co.,Fort Atkinson,3,3/31/2016,LS,04/15/2016,Commercial Gravure Printing,Jefferson,South Central
Mexican Accent LLC,New Berlin,155,2/19/2016,CL,04/22/2016,Other Snack Food Mfg,Waukesha,WOW
"Publications International, Ltd.",Yorkville,50,2/2/2016,CL,04/01/2016,Book & Periodical Merch Whls,Racine,South East
Eaton Corporation,Watertown,91,2/24/2016,AW,06/30/2015,Relay & Ind Control Mfg,Jefferson,South Central
Manitowoc Cranes,Port Washington,80,2/22/2016,RN,06/02/2016,Misc Fabricated Metal Product Mfg,Ozaukee,WOW
BuySeasons,New Berlin,128,1/29/2016,CL,04/01/2016,Other Cut and Sew Apparel Manufacturing,Waukesha,WOW
JP Morgan Chase & Co,Milwaukee,135,1/26/2016,WR,03/26/2016,Commercial Banking,Milwaukee,Milwaukee
Walmart #3030,Wauwatosa,78,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
Walmart #3031,Menomonee Falls,76,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Walmart #3496,Milwaukee,272,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
Walmart #5698,Waukesha,61,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Sealed Air Corporation,Mount Pleasant,45,1/15/2016,CL,03/31/2016,Ind Paper Merch Whls,Racine,Southeast
Sealed Air Corporation - Revision 1,Mount Pleasant,45,5/5/2016,LS,03/25/2016,Ind Paper Merch Whls,Racine,Southeast
Grainger - Imperial Supplies,Green Bay,50,1/11/2016,WR,03/18/2016,Hardware Merch Whls,Brown,Bay Area
"Oscar Meyer Div, Kraft Heinz Food Company",Madison,141,1/6/2016,CL,02/26/2016,Meat Processed from Carcasses,Dane,South Central
W.D. Hoard & Sons Co.,Fort Atkinson,3,1/29/2016,LS,03/18/2016,Commercial Gravure Printing,Jefferson,South Central
"ConAgra Foods, Inc.",Ripon,285,1/25/2016,LS,04/01/2016,Cookie & Cracker Mfg,Winnebago,Fox Valley
Sealed Air Corporation,Sturtevant,29,1/15/2016,LS,03/15/2016,Ind Paper Merch Whls,Racine,Southeast
